major_category	major_preprocessed	major_original	Realistic	Investigative	Artistic	Social	Enterprising	Conventional
	informat	Applied Informatics	0.3125	0.65625	0.3125	0.5	0.5	0.6875
	comput	computer	0.5	0.46875	0.625	0.65625	0.59375	0.65625
	doctor	Doctor	0.46875	0.71875	0.625	0.34375	0.4375	0.46875
	development disabl	developmental disabilities	0.125	0.4375	0.15625	0.75	0.28125	0.40625
	interior design	Interior Designer	0.25	0.09375	0.96875	0.875	0.59375	0.46875
	medic	Medical	0.4375	0.59375	0.0	0.625	0.0	0.65625
	medic	Medical	0.53125	0.90625	0.375	0.625	0.375	0.40625
	social servic	Social Services	0.0625	0.15625	0.0	0.71875	0.3125	0.0625
	occup therapi assist	Occupational therapy assistant	0.25	0.59375	0.5	0.96875	0.53125	0.03125
	hospit	Hospitality	0.3125	0.28125	0.625	0.8125	0.8125	0.71875
	hospit	Hospitality	0.3125	0.28125	0.65625	0.9375	0.90625	0.84375
	psikolog	psikologi	0.1875	0.21875	0.5625	0.65625	0.4375	0.28125
	polit	Political	1.0	1.0	1.0	1.0	1.0	1.0
	medic field	medical field	0.28125	0.5	0.65625	0.78125	0.40625	0.15625
	fbi	FBI	0.15625	0.28125	0.25	0.375	0.0625	0.0
	oak park high school	oak park high school	1.0	1.0	1.0	1.0	1.0	1.0
	dental	Dental	0.25	0.5	0.5	0.15625	0.46875	0.5
	fashion merchandis	fashion merchandising	0.0	0.0	0.0625	0.28125	0.0625	0.03125
	bank	banking	0.4375	0.28125	0.59375	0.65625	0.59375	0.625
	tourism	tourism	0.3125	0.59375	0.625	0.40625	0.125	0.03125
	ethic	ethics	0.09375	0.78125	0.78125	0.59375	0.375	0.21875
	teach	Teaching	0.28125	0.03125	0.0625	0.75	0.4375	0.625
	obstretucian	Obstretucian	0.46875	0.90625	0.875	0.5625	0.71875	0.34375
	medic	Medical	0.0	0.125	0.0	0.25	0.0625	0.1875
	pharmaci	pharmacy	0.4375	1.0	0.84375	0.96875	0.53125	0.71875
	speech patholog	speech pathology	0.25	0.25	0.03125	0.5625	0.28125	0.34375
	pharmaci	Pharmacy	0.28125	0.71875	0.625	0.625	0.4375	0.40625
	eduat	Eduation	0.0	0.125	0.34375	0.78125	0.4375	0.25
	automotif	automotif	0.40625	0.25	0.4375	0.90625	0.0	0.0
	marin	Marine	0.3125	1.0	0.5625	0.21875	0.25	0.5
	anim	Animation	0.0625	0.65625	0.9375	0.21875	0.125	0.09375
	fashion	fashion	0.0	0.34375	0.28125	0.59375	0.15625	0.15625
	militari	military	0.53125	0.59375	0.5	0.5625	0.21875	0.125
	fire	fire	0.15625	0.25	0.3125	0.25	0.1875	0.15625
	pharmaci	Pharmacy	0.1875	0.65625	0.625	0.78125	0.75	0.625
	occup therapi	Occupational Therapy	0.3125	0.53125	0.84375	0.625	0.46875	0.625
	mark	Markeing	0.0	0.75	0.8125	0.65625	0.46875	0.25
	culinari	Culinary	0.3125	0.0625	0.90625	0.5625	0.46875	0.34375
	translat	Translation	0.34375	0.65625	0.4375	0.625	0.1875	0.3125
	medic	medic	0.15625	0.9375	0.59375	0.875	0.5625	0.4375
	pharmaci	Pharmacy	0.15625	0.46875	0.34375	0.75	0.4375	0.25
	logist	Logistics	0.1875	0.21875	0.28125	0.28125	0.40625	0.65625
