major_category	major_preprocessed	major_original	realistic	investigative	artistic	social	enterprising	conventional
agriculture & natural resources	anim scienc	Animal Sciences	0.3125	0.96875	0.9375	0.8125	0.21875	0.03125
agriculture & natural resources	agricultur	Agriculture	0.0	0.34375	0.28125	0.4375	0.46875	0.15625
agriculture & natural resources	agricultur engin	agriculture engineering	0.75	0.65625	0.46875	0.6875	0.375	0.875
agriculture & natural resources	forestri	Forestry	0.0625	0.4375	0.09375	0.4375	0.28125	0.3125
agriculture & natural resources	agricultur busi	Agriculture Business	0.1875	0.15625	0.1875	0.25	0.125	0.1875
agriculture & natural resources	agricultur	Agriculture	0.1875	0.3125	0.3125	0.4375	0.46875	0.53125
agriculture & natural resources	agricultur	Agriculture	0.1875	0.25	0.71875	0.9375	0.5	0.6875
agriculture & natural resources	agricultur	agriculture	0.0625	0.6875	0.625	0.75	0.3125	0.3125
agriculture & natural resources	agricultur econom	Agriculture Economics	0.15625	0.59375	0.15625	0.21875	0.6875	0.75
agriculture & natural resources	agricultur	agriculture	0.3125	0.84375	0.4375	0.875	0.59375	0.75
agriculture & natural resources	anim scienc	Animal Science	0.125	0.5625	0.625	0.4375	0.5	0.3125
agriculture & natural resources	agronomi	agronomy	0.5	0.5	0.4375	0.53125	0.3125	0.125
agriculture & natural resources	anim scienc	Animal Sciences	0.0625	0.25	0.4375	0.5625	0.3125	0.34375
agriculture & natural resources	agricultur leadership develop	AGRICULTURAL LEADERSHIP AND DEVELOPMENT	0.46875	0.3125	0.1875	0.375	0.375	0.25
agriculture & natural resources	forestri	Forestry	0.3125	0.6875	0.71875	0.625	0.40625	0.625
agriculture & natural resources	sustain agricultur	sustainable agriculture	0.4375	0.59375	0.78125	0.34375	0.28125	0.375
agriculture & natural resources	anim scienc	Animal science	0.15625	0.84375	0.1875	0.8125	0.3125	0.46875
agriculture & natural resources	agricultur natur resourc	Agriculture and Natural Resources	0.03125	0.46875	0.46875	0.25	0.28125	0.125
agriculture & natural resources	agricultur	Agriculture	0.875	0.8125	0.5	0.125	0.5625	0.875
agriculture & natural resources	agricultur	Agriculture	0.0625	0.5	0.25	0.375	0.40625	0.25
