College Major	Realistic	Investigative	Artistic	Social	Enterprising	Conventional
agriculture communication	0.375	0.78125	0.59375	1.0	0.28125	0.46875
agriculture economics	0.40625	0.75	0.3125	0.75	0.21875	0.46875
agriculture education	0.125	0.59375	0.0	0.78125	0.5	0.53125
agriculture engineering	0.4166666666666667	0.7395833333333334	0.5	0.6458333333333334	0.3645833333333333	0.5
agriculture science	0.28125	0.75	0.453125	0.796875	0.328125	0.234375
agriculture, later non-profit management	0.375	0.5625	0.5625	0.65625	0.375	0.28125
agricutlrual business management	0.1875	0.3125	0.125	0.5625	0.25	0.75
agrisci	0.0	0.3125	0.5	0.15625	0.3125	0.0625
agronomia	0.765625	0.75	0.21875	0.375	0.53125	0.78125
agronomic engineering	0.21875	0.84375	0.6875	0.4375	0.34375	0.28125
agronomist	0.6875	0.75	0.5	0.75	0.59375	0.71875
agronomy	0.34375	0.7254464285714286	0.42410714285714285	0.6004464285714286	0.3638392857142857	0.38839285714285715
agronomy engineering	0.21875	0.5	0.46875	0.375	0.4375	0.1875
agrotechnology	0.34375	0.6875	0.515625	0.609375	0.59375	0.5
ai	0.125	0.375	0.3125	0.15625	0.0	0.15625
ai engineering	0.25	0.125	0.3125	0.40625	0.3125	0.1875
air travel	0.1875	0.125	0.90625	0.71875	0.71875	0.875
aircraft maintenance engineering	0.53125	0.6875	0.625	0.65625	0.625	0.46875
airport operations	0.4375	0.40625	0.125	0.65625	0.28125	0.25
airway management	0.625	0.46875	0.625	0.59375	0.625	0.46875
akuntansi	0.3125	0.34375	0.4375	0.65625	0.6875	0.75
allied health	0.22265625	0.66796875	0.3984375	0.6875	0.31640625	0.43359375
allied health science	0.46875	0.65625	0.46875	0.59375	0.40625	0.34375
allied health sciences	0.25	0.8125	0.78125	0.71875	0.4375	0.65625
allied heath	0.0625	0.25	0.09375	0.5625	0.0	0.0
already chemical engineer	0.53125	0.8125	0.3125	0.28125	0.15625	0.03125
amciv	0.0	0.15625	0.125	0.09375	0.0	0.0
american civilization	0.21875	0.125	0.6875	0.71875	0.46875	0.4375
american culture studies	0.1875	0.15625	0.375	0.65625	0.15625	0.03125
american history	0.40625	0.53125	0.6041666666666666	0.7604166666666666	0.3645833333333333	0.3854166666666667
american history & black studies	0.0	0.28125	0.84375	0.65625	0.78125	0.125
american literature	0.15625	0.0625	0.78125	0.53125	0.34375	0.09375
american sign language	0.140625	0.40625	0.6796875	0.640625	0.4140625	0.1875
american studies	0.19455645161290322	0.46975806451612906	0.5433467741935484	0.6209677419354839	0.4213709677419355	0.31048387096774194
american studies & education	0.15625	0.5625	0.34375	0.875	0.53125	0.5625
american studies/education	0.0	0.5	0.09375	0.46875	0.21875	0.375
american studiess	0.0	0.34375	0.28125	0.59375	0.59375	0.03125
analytical chemistry	0.21875	0.625	0.84375	0.34375	0.15625	0.25
anatomical sciences	0.21875	0.875	0.40625	0.71875	0.28125	0.40625
anatomy	0.4	0.7625	0.3875	0.5375	0.39375	0.4625
anatomy pathology	0.125	0.40625	0.34375	0.28125	0.34375	0.34375
anatomy, genetics	0.40625	0.6875	0.1875	0.28125	0.34375	0.625
ancient history	0.0625	0.5625	0.78125	0.5625	0.34375	0.03125
anesthesiology	0.9375	1.0	0.40625	0.65625	0.40625	0.53125
anhtopology	0.25	0.3125	0.875	0.59375	0.6875	0.40625
anima science	0.5625	0.65625	0.84375	0.625	0.6875	0.6875
animal behavior	0.0	0.96875	0.25	0.21875	0.0	0.0
animal behavior and criminal justice	0.15625	0.9375	0.96875	0.6875	0.28125	0.1875
animal behavior and psychology	0.03125	0.875	0.875	0.5625	0.15625	0.25
animal behaviour	0.25	0.65625	0.671875	0.734375	0.515625	0.203125
animal care	0.140625	0.703125	0.53125	0.578125	0.296875	0.109375
animal doctor	0.25	0.21875	0.25	0.34375	0.375	0.40625
animal ecology	0.0625	0.59375	0.53125	0.5625	0.3125	0.21875
animal health	0.1875	0.84375	0.53125	0.78125	0.5	0.34375
animal management	0.1875	0.40625	0.28125	0.34375	0.21875	0.4375
animal psychology, zoology	0.0	0.5	0.0625	0.28125	0.0	0.0
animal science	0.28943452380952384	0.7410714285714286	0.39955357142857145	0.5104166666666666	0.32961309523809523	0.37723214285714285
animal science - pre vet	0.4375	0.9375	0.3125	0.6875	0.40625	0.59375
animal sciences	0.21875	0.6666666666666666	0.5104166666666666	0.65625	0.3958333333333333	0.34375
animal studies	0.125	0.8125	0.125	0.625	0.4375	0.4375
animal welfare	0.125	0.90625	0.71875	0.875	0.25	0.09375
animal welfare management	0.59375	1.0	0.09375	0.75	0.75	0.59375
animals	0.125	0.75	0.53125	0.5	0.21875	0.0625
animation	0.25375	0.475	0.58	0.40125	0.26125	0.23
anothropology	0.59375	0.71875	0.34375	0.4375	0.3125	0.65625
anthopology	0.0	0.28125	0.15625	0.3125	0.421875	0.21875
anthro	0.34375	0.78125	0.40625	0.59375	0.375	0.53125
anthro, policy, comm	0.25	0.75	0.53125	0.5625	0.34375	0.15625
anthroplogy	0.078125	0.34375	0.546875	0.46875	0.3125	0.03125
anthropolgy	0.203125	0.625	0.625	0.65625	0.265625	0.21875
anthropolgy and biology	0.28125	0.78125	0.5	0.5	0.125	0.0
anthropolocy	0.1875	0.1875	0.65625	0.875	0.75	0.34375
anthropologie	0.1875	0.6875	0.625	0.5	0.265625	0.40625
anthropology	0.22876447876447875	0.6319980694980695	0.5597249034749034	0.5631032818532818	0.31032818532818535	0.26375482625482627
anthropology & development	0.40625	0.71875	0.53125	0.78125	0.1875	0.0
anthropology & history	0.15625	0.6875	0.34375	0.53125	0.15625	0.03125
anthropology and african studies	0.0625	0.3125	0.4375	0.09375	0.03125	0.03125
anthropology and animal ecology	0.0	0.5625	0.0	0.40625	0.0	0.0
anthropology and art	0.0625	0.59375	0.53125	0.40625	0.28125	0.21875
anthropology and film studies	0.0625	0.1875	0.125	0.5	0.40625	0.125
anthropology and german	0.03125	0.59375	0.09375	0.8125	0.0625	0.53125
anthropology and linguistics	0.46875	0.28125	0.0	0.46875	0.59375	0.375
anthropology and psychology	0.5	0.8125	0.6875	0.75	0.53125	0.625
anthropology and russian	0.0625	0.71875	0.46875	0.25	0.21875	0.5
anthropology and sociology	0.4140625	0.421875	0.6015625	0.671875	0.515625	0.546875
anthropology and spanish	0.34375	0.71875	0.71875	0.75	0.4166666666666667	0.14583333333333334
anthropology then veterinarian	0.09375	0.625	0.8125	0.40625	0.09375	0.0
anthropology, art history, russian	0.03125	0.40625	0.5625	0.21875	0.25	0.15625
anthropology, ba; public health ma	0.25	0.78125	0.75	0.59375	0.15625	0.03125
anthropology, economics	0.21875	0.53125	0.46875	0.78125	0.3125	0.5
anthropology, geography, education	0.375	0.6875	0.625	0.71875	0.375	0.5
