Realistic	Investigative	Artisitc	Social	Enterprising	Conventional	College Major
0.0625	0.5	0.5	0.4375	0.25	0.0	Philosophy
0.3125	0.46875	0.625	0.78125	0.25	0.25	history 
0.25	0.75	0.59375	0.625	0.03125	0.0625	Counseling 
0.125	0.4375	0.65625	0.4375	0.46875	0.21875	Dental Assisting 
0.5	0.6875	0.625	0.96875	0.5625	0.75	Social Science
0.21875	0.46875	0.34375	0.5	0.3125	0.125	psychology
0.375	0.40625	0.25	0.65625	0.625	0.46875	automotive business
0.0625	0.40625	0.46875	0.90625	0.53125	0.21875	Psicologia
0.375	0.375	0.40625	0.4375	0.28125	0.625	Geology
0.28125	0.21875	0.84375	0.90625	0.375	0.46875	English
0.28125	0.40625	0.5	0.46875	0.21875	0.28125	philosophy
0.40625	0.4375	0.65625	0.40625	0.25	0.40625	philosophy
0.03125	0.5	0.5	0.5625	0.625	0.34375	Psychology
0.0625	0.46875	0.125	0.40625	0.5	0.40625	Business
0.34375	0.875	0.15625	0.90625	0.25	0.53125	Psychology
0.15625	0.65625	0.71875	0.15625	0.5625	0.59375	Nursing
0.53125	0.9375	0.46875	0.21875	0.375	0.4375	molecular biology
0.0	0.1875	0.09375	0.65625	0.03125	0.03125	Sociology
0.21875	0.90625	0.71875	0.5625	0.40625	0.3125	Mathematics
0.5	0.5	0.5	0.5	0.5	0.5	psychology
0.0	0.15625	0.3125	0.625	0.25	0.03125	Counseling
0.375	0.40625	0.4375	0.6875	0.6875	0.34375	human resource
0.40625	0.25	0.59375	0.6875	0.625	0.375	law
0.0625	0.0625	0.09375	0.28125	0.5625	0.71875	civil engineering
0.6875	0.65625	0.09375	0.4375	0.25	0.75	Electrical Engineering
0.59375	0.1875	0.78125	0.78125	0.65625	0.46875	Mechanical Engineering
0.3125	0.65625	0.34375	0.625	0.625	0.625	Psychology
0.125	0.0625	0.0625	0.3125	0.0	0.0	English
0.46875	0.53125	0.65625	0.4375	0.75	0.78125	computer science
0.21875	0.5	0.59375	0.625	0.625	0.125	translation
0.125	1.0	0.625	0.75	0.0	0.375	Nursing
0.375	0.65625	0.9375	0.9375	0.8125	0.8125	Psychology
0.0625	0.90625	0.0625	1.0	0.21875	0.125	Biology & Psychology
0.4375	0.34375	0.5625	0.625	0.53125	0.40625	marketing
0.375	0.8125	0.875	0.625	0.3125	0.1875	Hungarian language and literature
0.34375	0.8125	0.21875	0.5	0.375	0.34375	biomedial science
0.0625	0.375	0.5	0.78125	0.34375	0.125	Business
0.28125	0.75	0.875	0.71875	0.40625	0.3125	psychology
0.34375	0.46875	0.6875	0.5	0.375	0.34375	Journalism
0.28125	0.34375	0.625	0.84375	0.46875	0.09375	psychology
0.0625	0.46875	0.84375	0.65625	0.21875	0.0	Psychology
0.09375	0.46875	0.625	0.53125	0.375	0.28125	Archaeology
0.0	0.125	0.5625	0.71875	0.25	0.1875	Psychology
0.46875	0.25	0.46875	0.25	0.65625	0.8125	economics
0.375	1.0	0.6875	0.875	0.5	0.375	veterinary medicine
0.5625	0.4375	0.78125	0.71875	0.71875	0.21875	medicine
0.03125	0.46875	0.0625	0.65625	0.03125	0.03125	Kinesiology
0.125	0.8125	0.3125	0.5	0.25	0.34375	psychology
0.15625	0.6875	0.15625	0.75	0.46875	0.25	psychology
0.09375	0.21875	0.21875	0.1875	0.3125	0.0625	human design engineering
0.75	0.9375	0.65625	0.875	0.5625	0.25	Business
0.125	0.125	0.65625	0.8125	0.28125	0.46875	psychology
0.125	0.65625	0.53125	0.90625	0.5	0.03125	government
0.46875	0.84375	0.53125	0.5	0.625	0.53125	physics
0.125	0.46875	0.15625	0.5	0.375	0.09375	Environmental Studies
0.28125	0.75	0.53125	0.46875	0.15625	0.0	Education
0.0	0.625	0.5	0.65625	0.25	0.0	Psychiatry
0.65625	0.6875	0.53125	0.34375	0.1875	0.375	mechanical engineering
0.53125	0.96875	0.09375	0.625	0.125	0.5625	psychology
0.09375	0.21875	0.6875	0.59375	0.25	0.21875	Engineering
0.15625	0.71875	0.34375	0.03125	0.15625	0.15625	Electrical Engineering
0.0	0.8125	0.34375	0.75	0.125	0.03125	health studies
0.1875	0.0625	0.53125	0.71875	0.6875	0.5	English
0.28125	0.53125	0.875	0.375	0.28125	0.15625	Computer Science
0.09375	0.125	0.3125	0.25	0.53125	0.28125	marketing
0.125	0.6875	0.96875	0.71875	0.40625	0.0	law
0.25	0.5625	0.15625	0.09375	0.0	0.90625	English
0.25	0.9375	0.75	0.5625	0.6875	0.0625	education
0.03125	0.125	0.71875	0.875	0.46875	0.28125	psychologu
0.4375	0.71875	0.84375	0.625	0.53125	0.0625	medical microbiology
0.28125	0.3125	0.46875	0.5625	0.4375	0.28125	Engineering
0.25	0.78125	0.78125	0.9375	0.53125	0.4375	Pharmacy
0.375	0.25	0.34375	0.46875	0.46875	0.53125	psychology
0.25	0.6875	0.875	0.90625	0.5	0.46875	Psychology
0.21875	0.59375	0.375	0.875	0.46875	0.46875	Rehabilitation Services
0.625	0.75	0.78125	0.84375	0.8125	0.90625	Engineering
0.15625	0.78125	0.46875	0.9375	0.5	0.3125	Rehabilitation Services
0.53125	0.90625	0.4375	0.90625	0.46875	0.375	psychology
0.1875	0.25	0.25	0.625	0.40625	0.5625	computer science
0.21875	0.90625	0.5	1.0	0.53125	0.28125	Rehabilitation Services
0.375	0.5625	0.78125	0.53125	0.125	0.0	Psychology
0.3125	0.0	0.0625	0.4375	0.65625	0.75	Engineering
0.125	0.625	0.625	0.6875	0.34375	0.375	Psychology
0.25	0.5	0.5	0.65625	0.0625	0.125	Health
0.1875	0.5	0.375	0.4375	0.71875	0.15625	English
0.15625	0.15625	0.28125	0.5625	0.28125	0.09375	Nutrition
0.0	0.53125	0.40625	0.1875	0.0	0.09375	English
0.5625	0.78125	0.28125	0.625	0.09375	0.28125	Biology
0.125	0.78125	0.34375	0.5	0.28125	0.40625	neurobiology
0.40625	0.4375	0.5625	0.625	0.4375	0.34375	Marketing
0.125	0.96875	0.28125	0.6875	0.03125	0.03125	biochemistry
0.0	0.5	0.34375	0.6875	0.21875	0.03125	history
0.125	0.40625	0.71875	0.25	0.0625	0.03125	Liberal arts
0.0	0.875	0.375	0.5	0.625	0.8125	Psychology
0.28125	0.6875	0.40625	0.78125	0.53125	0.4375	engineering
0.09375	0.71875	0.34375	0.28125	0.09375	0.78125	Psychology
0.65625	0.34375	0.375	0.40625	0.28125	0.75	Russian
0.875	1.0	0.0	0.0	0.0	0.75	Mechanical Engineering
0.0	0.09375	0.03125	0.78125	0.125	0.0	Psychology
0.21875	0.0625	0.25	0.75	0.59375	0.28125	Elementary Education
0.03125	0.375	0.71875	0.78125	0.25	0.0	Psychology
0.53125	0.5625	0.59375	0.375	0.03125	0.15625	Arts
0.34375	0.65625	0.65625	0.59375	0.46875	0.40625	psychology
0.0	0.0	0.125	0.46875	0.59375	0.125	AA
0.0	0.53125	0.09375	0.34375	0.0	0.0	Psychology
0.0625	0.1875	0.25	0.78125	0.4375	0.40625	Education
0.6875	0.84375	0.3125	0.78125	0.28125	0.4375	Chemistry
0.21875	0.59375	0.21875	0.78125	0.34375	0.4375	Nursing
0.03125	0.5625	0.5625	0.4375	0.15625	0.28125	elementary education 
0.1875	0.1875	0.1875	0.28125	0.15625	0.1875	English
0.46875	1.0	0.71875	0.65625	0.3125	0.40625	astronomy
0.25	0.28125	0.3125	0.71875	0.125	0.09375	Business
0.25	0.3125	0.46875	0.15625	0.125	0.28125	psychology
0.0	0.75	0.625	0.375	0.03125	0.125	Psychology
0.53125	0.8125	0.96875	0.71875	0.71875	0.625	psychology
0.1875	0.0	0.0	0.15625	0.375	0.3125	Communication
0.65625	0.34375	0.65625	0.78125	0.5	0.78125	business
0.125	0.4375	0.03125	0.25	0.28125	0.59375	psychology
0.375	0.15625	0.65625	0.25	0.3125	0.125	Visual Arts
0.90625	0.4375	0.5625	0.75	0.65625	0.5	Mechanical Engineering
0.3125	0.28125	0.25	0.34375	0.46875	0.4375	science
0.71875	0.65625	0.4375	0.1875	0.03125	0.28125	mechanical engineering
0.125	0.4375	0.46875	0.8125	0.8125	0.46875	Business Management 
0.1875	0.65625	0.625	0.6875	0.53125	0.28125	Psychology
0.34375	0.6875	0.59375	0.71875	0.46875	0.125	English
0.65625	0.1875	0.34375	0.15625	0.75	0.46875	Industrial Engineering
0.53125	0.53125	0.75	0.71875	0.65625	0.71875	Education
0.375	0.875	0.59375	0.90625	0.625	0.4375	nursing
0.5	0.90625	0.53125	0.75	0.3125	0.59375	Psychology
0.25	0.625	0.59375	0.375	0.34375	0.125	Global Studies
0.3125	0.375	0.0625	0.625	0.8125	0.5625	International Business
0.59375	0.625	0.625	0.5625	0.6875	0.25	MBA
0.125	0.40625	0.53125	0.75	0.3125	0.03125	psychology
0.34375	0.21875	0.53125	0.53125	0.34375	0.5	Biochemistry, Microbiology
0.0	0.65625	0.9375	0.46875	0.3125	0.1875	English
0.09375	0.8125	0.3125	0.96875	0.375	0.1875	psychology
0.03125	0.15625	0.21875	0.84375	0.53125	0.65625	psychology
0.28125	0.125	0.6875	0.625	0.5625	0.46875	marketing
0.125	0.75	0.9375	0.125	0.03125	0.125	music
0.15625	0.40625	0.78125	0.9375	0.625	0.375	Counseling
0.5	0.46875	0.46875	0.78125	0.3125	0.34375	Adult Education
0.28125	0.25	0.59375	0.625	0.625	0.5	English
0.375	0.53125	0.625	0.59375	0.375	0.03125	english
0.09375	0.25	0.8125	0.84375	0.28125	0.0625	Psychology
0.0625	0.15625	0.21875	0.75	0.1875	0.09375	Criminal Justice 
0.0625	0.5	0.625	0.71875	0.46875	0.1875	english
0.15625	0.40625	0.46875	1.0	0.5625	0.625	Mental health counseling
0.0	0.0	0.375	0.3125	0.03125	0.15625	Politics
0.59375	0.65625	0.5625	0.65625	0.46875	0.59375	Business
0.0	0.53125	0.4375	0.71875	0.125	0.03125	psychology
0.53125	0.96875	0.65625	0.6875	0.53125	0.4375	english
0.15625	0.40625	0.75	0.875	0.6875	0.28125	psychology
0.3125	0.46875	0.28125	0.40625	0.15625	0.3125	History
