major_category	major_preprocessed	major_original	R1	R2	R3	R4	R5	R6	R7	R8	I1	I2	I3	I4	I5	I6	I7	I8	A1	A2	A3	A4	A5	A6	A7	A8	S1	S2	S3	S4	S5	S6	S7	S8	E1	E2	E3	E4	E5	E6	E7	E8	C1	C2	C3	C4	C5	C6	C7	C8
	renew materi	Renewable materials	1	0	0	1	1	2	1	1	3	4	4	3	2	4	1	1	3	0	1	3	1	4	3	2	0	1	1	3	1	1	1	1	0	0	1	1	3	1	3	1	0	0	1	1	3	1	1	0
	renuabl energi	renuable energy	2	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	4	2	0	0	0	4	0	0	0	3	0	3	0	3	3	0	0	0	0	0	0
	reproduct health	Reproductive Health	2	1	0	0	0	0	0	0	4	3	1	3	3	2	3	0	0	0	2	2	1	2	1	0	2	2	3	3	3	0	2	2	0	2	1	2	3	1	2	0	0	1	1	2	2	2	1	0
	req rn	pre, reqs for RN	0	2	2	0	0	1	0	2	4	3	3	3	3	3	3	3	2	2	3	2	2	3	3	3	3	2	3	4	3	3	3	3	0	2	2	3	1	3	1	3	0	0	0	1	1	1	1	1
	reseach	reseacher	3	2	3	2	2	2	3	0	2	3	2	0	2	3	3	0	2	3	2	2	3	2	3	2	3	0	3	2	2	2	2	0	0	2	2	3	2	2	2	0	2	3	3	2	2	2	2	0
	research	researcher	0	0	0	0	0	0	0	0	4	4	4	4	4	0	4	0	4	0	3	0	3	3	0	0	4	4	0	3	0	4	4	4	4	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0
	research	research	0	0	0	0	0	0	1	0	2	4	3	2	2	4	2	1	3	3	3	4	2	4	4	3	4	4	4	3	3	4	4	4	0	3	2	3	1	4	2	4	1	0	0	1	0	1	1	1
	research	Research 	0	2	0	0	0	0	0	0	3	1	2	3	0	1	0	0	3	1	4	4	4	3	0	2	3	3	2	2	3	2	2	1	2	1	0	2	0	0	1	2	0	0	0	1	4	0	0	0
	research	Research 	0	0	0	0	0	1	0	0	2	0	0	0	3	0	2	0	0	0	1	3	4	3	0	0	0	4	4	0	4	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1	0	0
	research	researcher	1	2	0	0	1	2	0	1	1	1	1	0	0	2	2	2	2	1	1	0	0	1	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	2	0	1	2
	research	researcher	3	3	2	0	3	2	0	2	2	3	3	2	2	1	0	2	2	1	2	0	4	2	2	1	3	1	3	4	3	3	3	3	0	1	0	2	3	0	0	0	2	3	0	1	0	2	3	2
	residenti engin	residential engineering	3	3	3	4	2	4	3	4	4	3	3	3	4	4	4	4	0	0	3	0	2	0	0	4	1	2	3	1	3	0	0	0	1	1	2	1	2	2	2	1	3	3	4	3	4	3	1	4
	respiratori	Respiratory 	2	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	4	4	4	4	4	0	0	4	4	4	4	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	respiratori	respiratory	2	0	0	1	0	1	1	1	4	3	2	3	2	2	2	1	1	0	1	3	1	3	1	1	4	3	2	0	2	2	3	2	0	2	1	2	2	2	1	1	0	2	1	1	1	2	1	1
	respiratori care	Respiratory Care	2	0	0	1	0	3	2	0	4	4	3	4	4	0	2	0	3	2	0	3	1	4	1	2	4	4	4	3	4	4	4	4	2	4	3	1	4	1	1	1	0	4	4	4	0	2	4	4
	respiratori care	Respiratory Care	2	0	0	0	0	0	0	1	4	2	2	2	0	3	1	2	4	2	2	3	2	3	0	3	4	4	4	3	4	3	4	4	0	2	2	2	0	1	2	0	0	0	0	1	0	0	2	1
	respiratori care	Respiratory care	0	2	0	1	0	2	0	1	3	2	0	3	0	1	1	0	2	3	2	3	2	3	1	1	2	2	1	2	3	0	3	2	1	1	3	1	3	1	2	2	0	1	1	0	1	1	1	1
	respiratori care	respiratory care	3	3	0	1	0	1	3	0	4	4	4	2	3	4	4	2	0	4	0	1	4	2	0	2	3	4	4	1	4	3	4	4	0	2	0	0	2	2	0	4	3	4	3	4	3	3	2	3
	respiratori care	Respiratory Care	1	0	0	3	0	0	0	0	4	3	3	4	4	1	4	0	1	1	0	4	1	3	0	0	4	3	1	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
	respiratori therapi	Respiratory therapy	2	0	1	1	1	1	1	1	3	1	2	3	3	3	3	1	2	1	2	1	2	1	0	1	2	3	3	1	2	3	2	3	2	1	1	1	1	1	1	1	2	2	1	1	0	1	1	1
	respiratori therapi	Respiratory Therapy	4	0	1	2	2	2	3	1	4	3	3	3	3	2	3	2	1	1	3	3	2	3	2	3	4	3	1	1	3	1	3	2	1	2	1	1	1	1	3	3	1	1	3	2	3	1	3	1
	respiratori therapi	Respiratory Therapy	0	0	0	0	0	2	0	0	4	3	3	4	3	3	4	2	1	1	1	1	1	1	0	0	3	1	3	2	3	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	respiratori therapi	Respiratory Therapy	2	2	0	2	1	3	2	2	4	3	3	4	3	2	3	2	1	1	1	2	1	3	0	2	4	3	4	3	4	3	3	3	1	0	1	2	1	0	2	0	0	1	1	1	1	2	1	0
	respiratori therapi	respiratory therapy	3	4	0	3	0	4	0	4	4	1	1	3	3	4	3	1	1	3	3	2	2	1	3	4	2	4	2	4	2	1	1	1	2	0	3	1	3	0	4	0	2	1	0	0	0	0	0	0
	respiratori therapi	respiratory therapy	2	0	0	0	0	0	0	0	4	4	4	3	0	4	3	1	0	0	4	3	2	2	3	0	2	4	4	4	2	2	4	2	2	1	0	4	3	0	3	0	3	0	2	2	0	3	2	0
	respiratori therapi	Respiratory Therapy	2	1	0	1	1	1	2	1	4	3	3	4	4	2	3	1	4	4	2	4	3	1	0	3	4	4	3	1	4	2	3	3	1	2	2	2	4	3	3	2	3	2	2	3	3	1	1	1
	respiratori therapi	Respiratory therapy	2	3	0	0	0	3	0	2	4	4	4	4	4	2	4	0	0	0	2	3	3	3	2	0	2	4	2	3	4	4	3	4	3	1	2	2	1	1	1	1	2	0	1	0	0	2	0	0
	respiratori therapi	Respiratory Therapy 	1	3	3	0	0	3	2	3	4	2	1	4	2	1	0	0	0	0	0	1	1	2	0	0	3	4	3	3	4	2	3	4	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0
	respiratori therapi	Respiratory therapy	4	2	1	3	2	2	1	1	4	2	1	4	3	3	3	2	1	3	3	4	3	3	2	2	2	4	3	2	2	3	3	3	3	1	2	2	1	2	0	3	1	4	1	1	3	2	1	1
	respiratori therapi	Respiratory therapy	0	2	2	3	2	2	3	4	4	3	1	2	1	4	1	2	4	1	4	4	4	4	3	4	0	3	0	3	4	4	4	4	0	2	0	4	0	4	1	2	0	0	0	1	0	0	0	0
	respiratori therapist	Respiratory therapist 	4	3	3	3	0	4	3	3	4	4	4	4	3	4	4	4	2	3	1	3	3	3	0	2	4	0	0	1	1	2	1	3	0	0	2	1	0	0	2	2	0	2	2	0	1	0	0	2
	respiratori therapist	Respiratory Therapist	1	0	0	0	0	0	0	0	2	0	0	3	2	0	2	0	0	3	0	0	0	0	0	0	3	2	0	0	0	0	1	0	2	0	3	0	3	0	0	0	1	1	2	0	0	2	2	1
	respitori therapi	respitory therapy	3	0	1	2	1	1	1	2	4	1	2	3	4	3	3	3	1	0	2	2	0	1	2	0	3	2	3	3	4	2	3	1	3	0	3	0	3	0	3	1	1	2	4	4	4	4	3	2
	restaur hotel mgmt vocat educ famili	Restaurant Hotel Mgmt, Vocational ED, Family 	4	0	0	4	2	4	4	2	4	1	2	2	2	4	3	4	2	1	4	4	4	4	1	2	4	4	2	4	2	1	3	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4
	restor	restoration	0	0	0	0	0	0	0	0	2	0	3	0	3	1	2	0	0	0	3	0	2	2	0	2	0	3	0	0	2	3	2	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0
	retail	Retailing	1	1	1	4	1	3	1	1	4	4	4	4	4	4	4	3	0	4	4	3	1	2	1	3	4	4	4	3	4	4	3	2	0	3	3	0	4	4	0	4	3	3	3	3	4	4	1	4
	retail	retail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	4	4	4	4	0	0	4	4	0	0	0	0	0	4	0	0	0	0	4	4	4	0	4
	retail	Retail	1	0	0	0	0	0	0	0	3	3	3	0	2	3	1	1	1	2	4	4	4	4	1	3	4	3	4	3	4	1	2	1	2	1	3	3	3	3	3	3	3	4	3	3	3	1	3	3
	retail	retailing	2	0	0	0	0	0	0	0	2	3	3	0	2	3	1	3	0	3	0	0	2	2	2	3	4	4	2	3	3	4	4	2	2	1	2	2	3	2	3	2	1	2	0	0	2	1	2	2
	retail	Retail	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	4	4	3	4	4	4	3	2	4	3	3	0	3	0	4	2	1	4	3	3	3	4	3	4	2	0	0	3	0	0	1	0
	retail merchandis	Retail Merchandising	0	0	0	0	0	0	0	1	3	3	3	2	1	3	1	1	0	0	3	1	1	0	1	1	3	3	3	1	3	3	3	2	2	3	3	3	3	3	3	3	0	0	0	1	0	0	1	0
	rh	rh	4	2	0	1	0	1	0	1	4	0	0	2	1	0	3	0	0	1	1	1	0	2	0	3	4	3	2	4	4	4	4	2	4	3	3	4	4	4	1	4	2	1	4	4	1	2	1	3
	rhs	RHS	1	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	1	0	0	0	3	0	0	0	3	1	3	0	4	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	rhs	RHS	2	0	0	4	3	0	2	0	2	4	4	4	3	3	2	4	0	0	4	4	2	2	2	4	4	4	4	4	1	2	4	4	0	4	4	4	3	2	4	4	0	4	4	3	3	0	4	4
	rhs	rhs	0	0	2	2	1	2	4	0	4	4	4	4	4	1	4	2	1	4	1	1	1	3	4	0	4	4	4	4	4	4	4	4	4	0	4	0	4	3	4	4	1	4	4	4	1	2	4	4
	rhs	RHS	0	0	0	1	0	0	0	0	0	4	3	0	2	4	2	0	0	4	3	4	4	2	4	2	0	2	4	0	3	2	2	2	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0
	right undecid	In university right now, undecided	1	0	0	0	0	0	0	0	3	3	2	2	3	2	2	0	2	3	3	2	3	3	2	4	3	3	3	3	4	4	4	3	1	2	2	3	2	1	3	3	0	2	2	2	0	0	1	1
	rn	Rn	2	0	0	3	0	3	3	0	3	4	4	3	2	2	2	0	2	2	0	3	0	3	0	2	2	3	2	3	2	4	3	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	3
	rn	RN	2	1	1	0	0	1	0	3	4	4	2	4	2	4	2	0	0	3	2	0	0	3	4	1	0	3	3	2	4	4	3	4	3	2	0	3	2	3	2	4	0	0	0	0	0	1	0	0
	rn	RN	4	2	2	2	0	0	1	1	4	4	0	4	4	2	4	1	0	2	1	1	0	0	1	1	4	4	4	1	4	2	1	4	0	4	1	2	1	1	4	1	3	2	1	1	0	2	2	1
	rn	RN	2	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	0	0	0	4	0	0	1	0	2	0	4	2	4	0	0	4	2	0	2	3	3	0	4	1	4	0	0	3	2	0	4	2
	rn	RN	0	0	0	0	0	0	4	0	4	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	4	4	1	4	3	4	4	4	0	2	1	2	4	2	2	2	2	4	1	2	1	4	1	1
	rn	RN	1	1	0	1	0	1	1	0	3	4	0	3	0	0	0	0	3	0	0	4	4	4	0	0	4	0	3	0	3	1	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0
	rn	RN	3	1	3	0	4	0	4	0	3	3	2	3	2	3	4	4	0	0	0	0	0	0	0	0	2	2	4	1	4	4	4	4	0	3	2	0	2	4	0	4	2	3	4	4	0	4	0	4
	rn	Pre RN 	4	4	2	4	1	2	4	4	4	4	2	4	4	3	4	2	2	3	4	4	4	2	4	3	4	3	4	2	4	4	4	4	4	3	3	3	4	3	4	2	4	4	2	2	4	2	3	3
	rn	rn	1	0	0	2	0	0	1	0	4	2	3	3	2	1	3	0	2	2	3	1	0	0	0	0	3	3	2	3	2	2	2	3	2	2	2	3	1	3	0	2	1	2	1	2	0	2	0	2
	rn	RN	0	0	0	0	0	1	4	2	4	2	1	3	1	1	1	0	0	0	0	0	0	0	4	0	1	4	2	4	4	4	4	4	2	4	1	2	4	2	2	3	2	4	0	4	0	4	2	2
	road engin	road engineering	3	2	3	3	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	2	2	2	1	0	0	1	1	2	2	2	2	1	2	2	2	2	2	3	3	1	2
	robot	Robotics	0	0	0	0	0	0	0	0	3	1	1	3	3	3	3	3	0	0	3	4	4	4	0	4	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	robot	robotic	2	1	2	2	2	2	2	2	1	0	1	0	1	0	1	3	0	1	0	0	0	1	2	1	1	2	1	2	0	1	1	0	0	0	1	0	2	0	0	2	0	1	2	1	2	2	1	2
	robot	robotics	2	3	0	2	1	2	1	1	3	3	4	2	2	1	2	1	1	1	1	3	0	1	2	1	2	3	3	2	2	2	0	1	2	2	3	1	3	4	3	2	2	2	2	2	2	1	2	2
	robot	robotics	0	1	2	0	0	2	0	2	4	4	4	4	4	4	3	3	1	3	3	3	3	3	3	4	2	2	1	1	0	1	1	1	1	1	2	1	2	1	1	2	0	0	0	0	0	0	0	0
	robot	Robotics	0	0	0	0	0	0	2	0	2	2	0	0	2	0	0	2	2	4	2	2	2	4	0	2	4	4	2	4	4	2	2	2	0	0	0	0	4	0	0	0	2	2	0	4	4	4	0	0
	robot	robotics	1	3	1	4	1	3	3	3	4	4	3	2	3	1	3	1	1	2	4	3	3	3	1	3	1	1	0	0	1	1	0	0	0	3	0	1	1	1	0	3	0	1	1	0	3	3	0	1
	robot	Robotics	3	0	3	3	0	0	1	0	1	3	3	3	3	3	3	3	1	0	3	3	3	3	0	1	0	3	0	0	0	0	3	1	0	0	0	0	2	3	2	2	0	3	3	0	1	2	1	0
	robot	Robotics	4	4	0	4	4	4	4	4	4	0	0	4	0	0	0	0	4	0	0	4	4	4	0	0	4	4	4	4	4	4	0	4	4	4	4	4	4	4	4	0	4	4	4	4	4	4	4	4
	robot	Robotics	4	0	0	4	2	4	4	2	2	4	3	3	3	2	3	2	0	3	1	1	1	1	0	0	3	4	2	3	1	0	1	2	0	0	0	0	2	0	0	0	0	4	3	0	4	4	0	2
	robot anim engin	robotics, animation, and general engineering	3	3	2	4	3	3	3	2	4	3	3	4	4	2	4	3	2	3	4	3	4	3	3	4	1	3	3	2	3	3	2	3	2	2	2	2	2	2	2	3	2	3	3	2	3	3	2	2
	robot engin	robotics engineering 	4	1	0	4	2	2	3	1	2	2	1	2	1	3	2	0	2	1	3	4	1	4	4	4	3	3	3	3	4	1	1	2	2	2	2	2	2	4	4	1	2	4	3	1	3	1	2	3
	robot engin	robotic engineering	2	2	2	4	1	3	2	1	3	2	2	3	1	1	1	1	0	2	1	0	0	0	1	1	1	2	1	0	1	1	2	2	0	1	1	0	4	2	2	1	0	2	1	0	2	2	1	1
	robot engin	robotic engineering	2	0	0	3	1	1	1	1	1	0	2	3	2	1	2	3	0	0	3	0	2	0	0	2	1	1	1	0	2	3	1	2	0	0	0	0	3	2	2	2	1	2	3	1	3	3	3	3
	robot engin	Robotic Engineering	1	1	0	4	1	4	2	2	2	0	2	3	3	1	3	0	1	1	2	3	3	3	0	0	2	0	1	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	3	0	1	3	0	0
	robot engin	Robotics Engineering	3	0	0	4	3	2	3	0	2	3	3	1	2	3	2	2	1	0	3	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0
	robot engin	robotic engineering	3	3	0	4	2	4	4	4	0	3	3	0	0	0	2	0	2	3	4	4	2	4	4	3	1	0	2	3	0	4	0	0	1	2	0	2	3	0	2	2	2	4	0	0	0	0	2	2
	robot engin	robotic engineering  	1	4	0	4	4	4	2	4	0	2	3	0	4	2	2	0	0	0	0	2	0	4	0	0	0	0	0	1	1	0	0	1	4	0	2	1	2	0	3	3	2	0	1	0	0	0	2	1
	robot engin	Robotic Engineer	0	0	1	4	1	1	1	1	1	2	3	1	1	3	2	3	2	3	3	4	1	4	4	3	1	1	1	3	1	2	1	2	1	1	1	1	1	3	1	3	1	2	2	2	3	2	1	1
	robot engin	Robotic engineering	0	0	0	0	0	1	0	1	3	4	4	3	4	4	3	3	1	2	3	3	4	3	3	3	2	3	2	3	2	2	3	2	0	0	1	1	0	0	0	3	0	0	0	0	0	1	0	0
	rocket scientist	Rocket scientist	0	1	2	0	0	3	1	2	3	1	1	1	0	1	1	1	2	2	0	2	2	2	2	1	3	3	2	3	2	2	2	2	1	1	1	0	3	1	4	1	0	1	1	0	1	1	1	0
	rocket scientist	rocket scientist	4	4	4	4	4	4	3	4	4	0	0	1	0	4	1	4	4	4	0	4	4	0	4	0	0	0	4	0	0	1	0	0	0	2	0	0	0	0	2	4	0	0	0	0	0	0	2	2
	romanc languag	Romance Languages	0	1	0	0	0	2	1	3	2	2	3	2	3	3	3	3	3	3	4	3	3	4	1	3	3	3	3	1	4	1	2	1	0	3	3	1	3	3	2	1	0	0	0	0	3	3	1	0
	rotc	ROTC	0	2	0	4	3	4	0	2	4	4	3	2	4	4	0	4	2	3	2	3	3	4	1	2	4	4	3	4	2	0	2	2	3	4	4	3	2	2	2	2	4	4	0	2	2	0	2	2
	rotc	R.O.T.C.	1	3	3	3	2	2	3	2	1	3	3	1	1	0	1	2	0	2	1	2	0	0	4	2	2	3	2	4	1	4	3	3	1	1	1	2	1	1	1	1	0	1	0	0	2	0	2	1
	rotc program	ROTC program 	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	rt	RT	0	0	0	0	0	0	0	0	3	4	3	2	0	4	2	3	0	0	0	0	0	0	0	0	0	1	2	0	2	2	3	2	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0
	rt	Rt 	2	0	0	0	0	0	0	0	4	3	3	3	2	3	2	3	0	0	0	0	0	0	2	0	3	3	2	2	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
	rtf	RTF	2	3	0	2	0	2	2	2	1	4	4	4	0	3	1	0	2	3	3	4	3	3	3	2	0	3	3	3	4	1	3	0	3	0	2	2	3	2	4	3	2	3	3	0	3	3	1	2
	rtvf	RTVF	0	0	1	1	0	3	0	0	4	4	4	3	1	3	2	4	2	3	4	3	4	3	3	4	3	2	2	3	3	3	4	3	1	0	3	1	3	0	3	0	0	0	1	0	0	0	0	0
	rtvf	rtvf	3	0	1	1	0	1	0	1	2	2	3	3	2	3	3	3	2	3	4	3	3	3	3	3	3	3	2	1	2	2	2	1	0	0	3	1	3	0	2	1	0	1	2	1	2	0	2	1
	rural survey engin	Rural and Surveying Engineering	0	0	0	0	0	0	0	0	3	3	2	3	3	2	1	3	2	0	0	3	3	2	1	1	2	4	1	4	4	1	2	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
	sac	sac	2	0	0	4	4	1	2	0	1	0	1	4	1	2	1	0	4	4	4	1	1	0	4	4	4	4	4	4	4	4	4	4	0	2	4	4	4	4	4	4	4	3	4	4	4	4	4	4
	safeti	safety	3	0	2	0	1	0	3	1	3	0	0	1	3	0	0	1	1	0	0	1	1	0	0	0	3	4	0	1	1	3	4	3	3	3	1	1	3	4	4	3	3	3	3	4	3	4	4	4
	safeti	safety	2	2	2	0	1	1	0	0	4	3	3	4	3	3	2	3	1	4	2	4	4	3	2	3	4	3	3	2	3	2	3	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
	safeti	SAFETY	4	0	0	4	0	0	4	0	4	4	4	4	0	4	0	4	0	0	0	0	0	0	0	0	4	4	4	0	4	4	0	4	2	0	4	0	4	0	0	0	0	4	0	2	0	0	0	0
	safeti	Safety 	2	0	0	0	0	0	0	0	3	2	1	0	0	3	0	1	0	0	0	0	0	0	0	0	3	3	2	0	2	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	2	2
	safeti	Safety 	2	1	0	1	1	1	1	2	2	1	1	1	1	1	1	2	2	1	1	3	2	2	0	2	2	2	3	2	2	3	3	3	2	2	3	1	2	2	3	2	2	2	2	2	2	2	2	2
	safeti engin	safety engineering	3	4	4	2	3	4	3	3	1	3	0	0	1	1	1	0	0	0	0	0	0	0	4	0	2	2	0	1	3	3	2	2	3	1	2	1	4	3	3	2	2	1	0	1	0	1	2	3
	safeti engin	Safety Engineering	2	4	4	3	4	4	4	4	0	3	3	2	0	2	2	2	0	1	0	2	0	4	4	0	2	2	0	3	0	2	0	0	0	0	0	0	2	0	1	1	0	0	0	2	2	3	0	2
	safeti health	safety and health	2	4	3	4	4	4	4	2	2	4	4	4	4	4	4	3	4	4	0	4	4	4	4	0	4	3	4	4	4	3	3	4	0	2	4	3	4	2	0	2	4	3	2	4	2	4	3	4
	safeti health environ	safety,health and environment	0	0	0	1	0	2	0	0	2	2	2	1	2	2	0	0	3	4	3	3	4	2	0	3	3	2	2	3	3	2	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0
	safeti mgmt	Safety mgmt	0	0	0	0	0	2	0	0	2	1	1	3	3	1	3	3	1	0	0	0	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
	safeti risk analysi	Safety and Risk Analysis	3	2	2	0	0	3	0	1	4	3	3	2	2	3	1	3	0	0	1	1	0	1	3	0	2	1	0	3	4	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
	safeti secur	Safety and Security	1	0	0	0	0	1	0	0	4	4	3	4	3	3	2	2	4	4	3	4	4	4	2	2	4	4	4	4	4	4	4	4	1	4	4	4	2	4	2	4	4	4	4	4	0	2	3	4
	safeti work	safety at work	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	2	3	3	3	3	3	3	3	2	3	3	3	3	3	2	1	1	2	3	3	3	3	3	2	3	3	2	3	3	2	3
	sain	Sains	2	1	0	2	1	0	2	0	4	3	4	4	4	4	4	3	0	0	0	0	1	0	0	0	2	0	4	2	4	2	3	4	0	0	2	1	2	1	1	0	0	1	2	0	1	4	1	1
	sain	SAINS	3	0	0	1	0	0	1	0	3	0	0	1	2	0	2	0	1	1	0	1	3	1	0	1	1	1	0	0	2	3	3	1	3	1	3	0	3	3	2	2	2	2	2	0	1	1	2	3
	sain komput	sains komputer	4	2	4	3	2	2	2	0	4	2	4	3	4	4	4	0	2	0	2	0	2	2	0	0	4	4	2	0	4	2	0	2	3	2	4	1	4	2	0	1	4	2	2	4	4	3	0	3
	sain sukan	sains sukan	2	2	3	3	2	2	2	2	0	2	1	1	1	1	1	2	1	4	1	1	3	1	2	3	1	2	2	3	3	3	2	3	1	2	3	2	2	2	2	3	2	2	2	2	2	2	1	2
	sain sukan	sains sukan	2	2	2	2	2	2	2	2	1	3	1	1	1	2	1	2	1	4	1	1	1	1	1	3	2	2	2	3	3	3	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
	sain sukan	sains sukan	2	2	2	2	2	2	2	2	1	2	1	1	1	2	1	2	1	4	2	1	1	1	1	2	2	2	2	3	2	3	3	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2
	sale	sales 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	2	4	0	4	4	2	4	2	0	4	3	4	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0
	sale	sales	1	1	0	2	1	2	1	1	1	3	2	3	2	2	2	3	3	3	3	3	4	4	1	3	3	3	1	3	2	1	3	2	2	3	4	3	3	3	2	3	2	2	1	2	2	2	2	2
	sale	Sales	2	1	3	3	1	2	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	1	3	1	2	2	1	2	3	1	2	2	4	2	3	2	3	1	2	1	1	2
	sale	sales	2	2	2	0	3	3	1	3	0	1	3	1	1	3	0	4	1	3	0	1	1	1	4	1	3	0	3	4	3	4	4	2	3	3	4	3	3	4	4	4	2	2	0	3	0	2	4	1
	sale	sales	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	4	2	0	0	3	3	4	3	1	2	0	1	2	1	0	1
	sanskrit	sanskrit	4	4	4	2	4	4	4	2	2	2	4	2	2	0	2	2	4	4	4	4	2	2	0	4	4	4	4	4	2	4	4	4	2	4	4	2	2	4	4	4	4	2	4	4	4	2	3	4
	santé	santé	0	2	0	1	2	1	1	1	3	1	3	1	1	2	0	0	0	1	4	0	0	3	0	0	2	2	3	2	3	3	3	3	0	1	2	0	2	0	2	3	0	1	1	2	1	0	0	2
	sc forwstri	Sc. Forwstry 	3	2	2	3	2	2	2	2	2	4	4	2	3	3	1	2	1	3	0	2	3	2	2	3	3	3	3	2	3	3	4	2	2	2	2	2	3	2	2	2	3	3	3	3	3	2	1	2
	scandinavian	Scandinavian Studies	1	3	3	2	1	2	1	2	3	4	4	3	3	3	3	4	2	4	4	3	2	1	2	4	3	2	3	3	3	0	0	1	2	1	3	4	2	3	2	0	3	1	2	2	1	1	2	2
	scandinavian area	Scandinavian Area Studies	2	2	1	2	1	2	2	0	2	2	2	1	2	3	1	3	2	2	1	3	4	3	2	1	2	3	3	1	3	2	3	1	0	1	1	0	2	0	2	0	1	2	1	1	0	3	1	1
	scandinavian area	Scandinavian Area Studies	3	2	1	2	1	2	1	0	3	3	3	2	3	3	2	3	2	3	1	4	3	4	1	3	3	3	4	2	3	2	3	2	0	0	0	0	3	0	2	3	1	3	2	2	1	2	1	2
	scandinavian languag	Scandinavian languages	0	1	1	0	0	1	0	1	4	3	2	1	2	3	2	4	3	4	4	4	4	4	3	4	4	2	3	3	3	2	2	1	2	2	2	2	2	2	2	3	0	0	0	0	0	0	0	0
	sceinc	sceince	2	4	4	1	4	4	3	4	3	4	4	4	4	4	4	4	3	4	4	4	3	4	4	4	3	4	2	3	3	3	0	2	2	3	1	4	2	2	0	3	2	2	0	0	1	0	1	2
	school cousnel	school cousneling	0	0	0	0	0	0	0	0	3	3	2	1	0	2	2	2	0	2	2	1	0	0	0	2	4	3	4	4	4	2	3	1	0	1	1	2	0	1	0	1	1	0	1	2	0	2	0	0
	school pe	School PE	2	2	2	2	3	3	1	0	3	4	4	4	4	3	0	0	4	2	3	4	4	4	3	4	4	4	4	4	4	3	4	4	2	0	3	3	3	4	1	2	2	3	4	3	2	1	2	2
	scienti	Scienties	1	1	0	1	0	1	0	0	4	4	4	3	4	4	4	1	0	0	1	0	1	3	0	0	1	2	0	2	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	scientif technic communic	Scientific and Technical Communication	2	3	0	1	0	1	2	2	2	1	2	3	1	1	1	3	1	1	3	3	1	1	0	2	3	4	3	1	3	1	2	3	1	0	4	3	4	1	3	2	2	0	3	2	2	3	2	1
	scientist	scientist	1	0	1	1	0	2	1	1	3	1	2	3	4	2	3	4	2	1	3	3	3	4	0	4	2	2	2	2	2	2	2	3	1	3	2	1	3	3	2	2	2	4	2	3	3	2	2	1
